window_s,sigma_mult,max_hold_s,source,n,win_rate,mean_r,median_r,total_r,max_r,min_r,mean_mfe_r,mean_cost_r,median_hold_s,stop_rate,p_ge_1r,p_ge_2r,p_ge_3r,p_ge_5r,p_ge_10r,profit_factor
3,4.0,900,random,690,0.005797101449275362,-0.613756427829764,-0.37732882873332607,-423.49193520253715,13.417375873799601,-2.364726509321313,0.38969799511426095,0.5844848165820419,900.0,0.06231884057971015,0.004347826086956522,0.002898550724637681,0.002898550724637681,0.0014492753623188406,0.0014492753623188406,0.04288731072935194
3,4.0,900,signal,138,0.0,-1.594888747993226,-1.6890457911045855,-220.0946472230652,-0.33071924896588534,-2.590560273231702,1.7268824337158057,0.8562763173946468,67.0,0.7246376811594203,0.0,0.0,0.0,0.0,0.0,0.0
3,4.0,3600,random,690,0.005797101449275362,-0.8737509054430341,-0.9610276484847535,-602.8881247556935,13.564733546788796,-2.364726509321313,1.5495164696818218,0.5844848165820419,3600.0,0.32318840579710145,0.004347826086956522,0.004347826086956522,0.004347826086956522,0.002898550724637681,0.0014492753623188406,0.04099989545907323
3,4.0,3600,signal,138,0.0,-1.7291141323267576,-1.7238045265791664,-238.61775026109254,-0.20835859518962227,-2.6236037441714863,2.9195761324857665,0.8562763173946468,67.0,0.8478260869565217,0.0,0.0,0.0,0.0,0.0,0.0
3,4.0,14400,random,690,0.002898550724637681,-1.587440703939759,-1.3851729236774815,-1095.3340857184337,5.7082231285241045,-2.4439290418248256,5.768845790736314,0.5844848165820419,5236.0,0.9840579710144928,0.002898550724637681,0.0014492753623188406,0.0014492753623188406,0.0014492753623188406,0.0,0.006167245114563848
3,4.0,14400,signal,138,0.0,-1.8933528153221681,-1.7291603101466029,-261.2826885144592,-1.6818020624925258,-3.692066301786888,4.651362751572991,0.8562763173946468,67.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4.0,86400,random,690,0.0,-1.6028073874454885,-1.3853046243839664,-1105.937097337387,-0.32723551750637847,-2.4439290418248256,7.41206140153213,0.5844848165820419,5236.0,0.9869565217391304,0.0,0.0,0.0,0.0,0.0,0.0
3,4.0,86400,signal,138,0.0,-1.8933528153221681,-1.7291603101466029,-261.2826885144592,-1.6818020624925258,-3.692066301786888,5.775899723696613,0.8562763173946468,67.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,6.0,900,random,535,0.007476635514018692,-0.4978882745872312,-0.3713123724663686,-266.3702269041687,4.6828845000169155,-2.2211719068297064,0.26243005035643074,0.46535876800386516,900.0,0.05794392523364486,0.005607476635514018,0.005607476635514018,0.003738317757009346,0.0,0.0,0.04255235927147387
3,6.0,900,signal,107,0.0,-1.7018067699713362,-1.6938924190929177,-182.09332438693298,-1.1533025968231507,-2.590560273231702,1.7980154287751218,0.781769584881865,67.0,0.897196261682243,0.0,0.0,0.0,0.0,0.0,0.0
