max_hold_s,n,win_rate,mean_r,median_r,total_r,max_r,min_r,mean_mfe_r,mean_cost_r,median_hold_s,stop_rate,p_ge_1r,p_ge_2r,p_ge_3r,p_ge_5r,p_ge_10r,profit_factor,stratum
900,134,0.11940298507462686,10.082503119614804,-1.2092705472787408,1351.0554180283839,137.77104403285338,-2.7227263647687203,11.509375884688426,1.3062616709369044,900.0,0.08208955223880597,0.11940298507462686,0.11940298507462686,0.11940298507462686,0.11940298507462686,0.11940298507462686,8.939056769272584,align:counter_trend
3600,134,0.208955223880597,24.188686348905197,-1.2948115441089731,3241.283970753296,137.95498793271878,-2.766794341068328,25.75540739045098,1.3062616709369044,3600.0,0.1791044776119403,0.208955223880597,0.208955223880597,0.208955223880597,0.208955223880597,0.208955223880597,19.933251576708134,align:counter_trend
14400,134,0.2835820895522388,37.44978820017136,-1.361529727330776,5018.271618822962,138.57399678753276,-3.689197331243592,69.52639430298696,1.3062616709369044,14400.0,0.47761194029850745,0.2835820895522388,0.2835820895522388,0.2835820895522388,0.2835820895522388,0.2835820895522388,27.6046173045543,align:counter_trend
86400,134,0.014925373134328358,-1.771145784041263,-1.704895715155493,-237.33353506152923,0.13567651494414,-3.689197331243592,69.7896939668494,1.3062616709369044,86396.0,0.47761194029850745,0.0,0.0,0.0,0.0,0.0,0.001024715396353394,align:counter_trend
900,20,0.9,23.962601656375103,24.852586799665907,479.25203312750205,44.18208897090746,-2.1477696109348727,24.527492310812654,0.4994530190175719,900.0,0.05,0.9,0.9,0.9,0.9,0.9,145.50507164899807,align:unknown
3600,20,0.95,30.893366815488896,26.447273849048987,617.8673363097779,137.58665777481636,-2.1477696109348727,31.467293829222037,0.4994530190175719,3600.0,0.05,0.95,0.95,0.95,0.95,0.95,288.6785913926937,align:unknown
14400,20,0.0,-1.2572725520421983,-1.2482568668084935,-25.145451040843966,-0.5795012982831826,-2.1477696109348727,31.487518954264907,0.4994530190175719,14400.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,align:unknown
86400,20,0.0,-0.901879150093202,-0.4445501399473767,-18.03758300186404,-0.18058784342128553,-2.1477696109348727,31.511023133482826,0.4994530190175719,86400.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,align:unknown
900,1305,0.9026819923371647,24.34289526940445,23.278071576542384,31767.478326572807,137.74993387829608,-2.590560273241916,24.88920358917379,0.5316205697500426,900.0,0.0038314176245210726,0.9026819923371647,0.9026819923371647,0.9026819923371647,0.9026819923371647,0.9026819923371647,179.06222678880744,align:with_trend
3600,1305,0.9256704980842911,27.139842713177558,23.295318890452112,35417.49474069671,137.9331602644176,-2.6236037441763735,27.71849206355931,0.5316205697500426,3600.0,0.02375478927203065,0.9256704980842911,0.9256704980842911,0.9256704980842911,0.9256704980842911,0.9256704980842911,202.4673165231471,align:with_trend
14400,1305,0.1210727969348659,5.138270589852961,-1.1955896768819625,6705.443119758113,137.773924174824,-3.617075014346445,31.49981463321675,0.5316205697500426,14400.0,0.3164750957854406,0.1210727969348659,0.1210727969348659,0.1210727969348659,0.1210727969348659,0.1210727969348659,5.569109523191303,align:with_trend
86400,1305,0.017624521072796936,-0.5300963441236897,-0.4662970866157003,-691.775729081415,120.49939375209573,-3.617075014346445,31.574949146780455,0.5316205697500426,86400.0,0.36628352490421456,0.017624521072796936,0.017624521072796936,0.017624521072796936,0.017624521072796936,0.017624521072796936,0.44131274378972124,align:with_trend
900,6,0.16666666666666666,3.2714202837591717,-1.2014872119795,19.62852170255503,26.525104802938554,-2.1193080587333983,4.649726798474714,1.1918066220436832,900.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,3.846122698276988,align_x_vol:counter_trend|unknown
3600,6,0.3333333333333333,42.19267889445755,-1.083525258851313,253.15607336674532,137.88790749141953,-2.1193080587333983,43.57006145581439,1.1918066220436832,3600.0,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,46.395920387011515,align_x_vol:counter_trend|unknown
14400,6,0.0,-1.830408077005419,-2.1334588938251597,-10.982448462032513,-0.8767524826043249,-2.423074756453088,43.662171652812795,1.1918066220436832,7189.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,align_x_vol:counter_trend|unknown
86400,6,0.0,-1.852223551368694,-2.1334588938251597,-11.113341308212163,-0.7089355074666985,-2.423074756453088,43.982548850164704,1.1918066220436832,7189.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,align_x_vol:counter_trend|unknown
900,128,0.1171875,10.401772627545537,-1.2092705472787408,1331.4268963258287,137.77104403285338,-2.7227263647687203,11.830921935604694,1.311626751353774,900.0,0.078125,0.1171875,0.1171875,0.1171875,0.1171875,0.1171875,9.154168646998055,align_x_vol:counter_trend|vol_normal
3600,128,0.203125,23.34474919833243,-1.2993555888188109,2988.127897386551,137.95498793271878,-2.766794341068328,24.92034548113707,1.311626751353774,3600.0,0.1796875,0.203125,0.203125,0.203125,0.203125,0.203125,19.042214401276834,align_x_vol:counter_trend|vol_normal
14400,128,0.296875,39.29104740066403,-1.3524651236355756,5029.2540672849955,138.57399678753276,-3.689197331243592,70.73877973971388,1.311626751353774,14400.0,0.46875,0.296875,0.296875,0.296875,0.296875,0.296875,29.31123457793624,align_x_vol:counter_trend|vol_normal
86400,128,0.015625,-1.7673452636977898,-1.704895715155493,-226.2201937533171,0.13567651494414,-3.689197331243592,70.99940389419399,1.311626751353774,86396.0,0.46875,0.0,0.0,0.0,0.0,0.0,0.001075001666658868,align_x_vol:counter_trend|vol_normal
900,20,0.9,23.962601656375103,24.852586799665907,479.25203312750205,44.18208897090746,-2.1477696109348727,24.527492310812654,0.4994530190175719,900.0,0.05,0.9,0.9,0.9,0.9,0.9,145.50507164899807,align_x_vol:unknown|unknown
3600,20,0.95,30.893366815488896,26.447273849048987,617.8673363097779,137.58665777481636,-2.1477696109348727,31.467293829222037,0.4994530190175719,3600.0,0.05,0.95,0.95,0.95,0.95,0.95,288.6785913926937,align_x_vol:unknown|unknown
14400,20,0.0,-1.2572725520421983,-1.2482568668084935,-25.145451040843966,-0.5795012982831826,-2.1477696109348727,31.487518954264907,0.4994530190175719,14400.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,align_x_vol:unknown|unknown
86400,20,0.0,-0.901879150093202,-0.4445501399473767,-18.03758300186404,-0.18058784342128553,-2.1477696109348727,31.511023133482826,0.4994530190175719,86400.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,align_x_vol:unknown|unknown
900,46,0.9130434782608695,23.611344575734332,23.273684371967732,1086.1218504837793,44.10935151199823,-1.4329661220257268,24.135775817834467,0.5146437655987471,900.0,0.0,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9130434782608695,190.48840342233152,align_x_vol:with_trend|unknown
3600,46,0.9130434782608695,23.621335806477667,23.28673571311524,1086.5814470979726,44.12726929777065,-1.4605722328629638,24.154856906245616,0.5146437655987471,3600.0,0.0,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9130434782608695,186.98557172487335,align_x_vol:with_trend|unknown
14400,46,0.21739130434782608,14.064969881362693,-1.1601506478296995,646.9886145426839,137.3350221905816,-2.013256309401223,36.23020412617933,0.5146437655987471,14400.0,0.2608695652173913,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.21739130434782608,15.428488360990242,align_x_vol:with_trend|unknown
86400,46,0.0,-0.8856904893770176,-0.47958144166760297,-40.741762511342806,-0.16689017690275312,-2.013256309401223,36.27990693287381,0.5146437655987471,86400.0,0.30434782608695654,0.0,0.0,0.0,0.0,0.0,0.0,align_x_vol:with_trend|unknown
