window_s,sigma_mult,impulse_age_s,n,median_impulse_bps,median_mfe_bps,p75_mfe_bps,median_ret_bps,median_cost_bps,win_rate_after_cost,mean_net_bps,mfe_cost_multiple,required_multiple,ceiling_clears_bar
3,4.0,0,9683,1.3270267984033524,4.275072508582201,9.62873807980765,1.2293877968100366,13.639025349030689,0.050810699163482395,-14.77413223642948,0.3134441354261451,3.0,false
3,6.0,0,3222,1.7908612545536329,4.8852062691269085,11.971353955870486,1.616174714258011,14.595695219694722,0.06238361266294227,-16.117812749019137,0.3347018552795655,3.0,false
3,6.0,1,3222,1.7908612545536329,3.5833533056543496,9.306690347023217,0.6660403859239139,12.826595617321477,0.05834885164494103,-15.624757889514989,0.27936900893759103,3.0,false
3,4.0,1,9683,1.3270267984033524,3.3427662701764915,8.225571964190069,0.5325176781852815,11.854451154720428,0.05473510275740989,-13.783618679739533,0.281984060379329,3.0,false
3,6.0,2,3222,1.7908612545536329,2.6964121064627005,7.639951929645929,0.11534535446513526,12.58371141170461,0.04438237119801366,-17.090731957587245,0.21427796762365836,3.0,false
3,4.0,2,9683,1.3270267984033524,2.6828865259677586,7.087150332509555,0.10299615824304774,11.59233112841432,0.04636992667561706,-14.627563003953073,0.2314363259855175,3.0,false
3,4.0,3,9683,1.3270267984033524,2.3696266521559344,6.5735964257464845,-0.0,11.333324654835215,0.04316843953320252,-14.917759140122191,0.20908486470869464,3.0,false
3,6.0,3,3222,1.7908612545536329,2.3811086346621373,7.076368843839618,-0.0,12.25196847507505,0.04003724394785847,-17.647525839720025,0.19434498542060213,3.0,false
3,6.0,5,3222,1.7908612545536329,2.2661219017441443,7.0392540885591615,0.0,11.989924568263056,0.03972687771570453,-17.781695941869003,0.189002181693661,3.0,false
3,4.0,5,9683,1.3270267984033524,2.2995113538373095,6.471565095948932,0.0,11.294873241610384,0.04285861819683982,-14.809979649210193,0.20358894736117047,3.0,false
3,4.0,7,9683,1.3270267984033524,2.3001363534070904,6.507879313768293,-0.0,11.260226281576953,0.043478260869565216,-14.682174622824665,0.20427088194225568,3.0,false
3,6.0,7,3222,1.7908612545536329,2.2405649749974055,6.937110334059189,0.0,11.97291649443379,0.03941651148355059,-17.882339431797387,0.18713610639805636,3.0,false
3,6.0,10,3222,1.7908612545536329,2.2010176546277935,6.802688951771311,0.0,11.168508593454021,0.04283054003724395,-16.951591880653904,0.1970735516036432,3.0,false
3,4.0,10,9683,1.3270267984033524,2.232236869813444,6.4156022161485815,-0.0,11.0,0.04461427243622844,-13.84762616875375,0.2029306245284949,3.0,false
3,4.0,15,9683,1.3270267984033524,2.163069411759439,6.242332155241337,-0.0,11.0,0.05204998450893318,-13.003771492469026,0.19664267379631264,3.0,false
3,6.0,15,3222,1.7908612545536329,2.140297372530624,6.579965334054141,0.0,11.0,0.05276225946617008,-15.10681233964651,0.1945724884118749,3.0,false
3,4.0,20,9683,1.3270267984033524,2.2189296169843766,6.209505319682115,0.0,11.0,0.0498812351543943,-13.001348063438785,0.20172087427130697,3.0,false
3,6.0,20,3222,1.7908612545536329,2.1526531130968536,6.349591788517098,0.0,11.0,0.045934202358783364,-14.916143673782848,0.19569573755425942,3.0,false
3,4.0,30,9683,1.3270267984033524,2.115947562683421,6.018685421339124,-0.0,11.0,0.05256635340287101,-12.83982424994123,0.19235886933485646,3.0,false
3,6.0,30,3222,1.7908612545536329,2.0026947692554646,6.187489404984307,-0.0,11.0,0.04996896337678461,-14.129702024124628,0.18206316084140586,3.0,false
5,4.0,0,6560,2.101357841990392,5.39364783119942,12.145517379971766,1.8518292057199073,13.941234737668108,0.06996951219512196,-14.360908098073411,0.38688451436989385,3.0,false
5,6.0,0,1976,2.9532684789668195,6.938801380849057,17.28817710840202,2.4768597128096665,15.37768337308905,0.09665991902834008,-14.58503212172321,0.4512254032354419,3.0,false
5,4.0,1,6560,2.101357841990392,4.5170698147120945,10.675351253492618,1.133857328051488,12.137749969664055,0.07317073170731707,-13.333720100628808,0.37215050779606035,3.0,false
5,6.0,1,1976,2.9532684789668195,5.500590912019538,14.743565587670274,1.3557098247188897,13.485494210374576,0.0860323886639676,-14.1324904675512,0.4078894570869978,3.0,false
5,4.0,2,6560,2.101357841990392,3.8720275419745835,9.643349577701011,0.652970930051582,11.956532760169768,0.06341463414634146,-14.292408858051155,0.32384200500610727,3.0,false
5,6.0,2,1976,2.9532684789668195,4.518678460175721,12.554585152838712,0.7652312729412449,13.43087604440954,0.07034412955465587,-16.253824438503425,0.3364395922674436,3.0,false
5,4.0,3,6560,2.101357841990392,3.3082198120408535,8.518359837697034,0.3398134306573223,11.969771704016921,0.05579268292682927,-15.134746042882435,0.2763811953849255,3.0,false
5,6.0,3,1976,2.9532684789668195,3.7177491347670237,10.718113612005562,0.204549249138642,13.534891400088458,0.05566801619433198,-18.220770336084335,0.27467890394323563,3.0,false
5,6.0,5,1976,2.9532684789668195,2.7280730907362365,8.704084770216433,-0.024004473493256545,13.566759090278468,0.03896761133603239,-20.0343461544281,0.2010850987020984,3.0,false
5,4.0,5,6560,2.101357841990392,2.5946732930328893,7.447962263656175,-0.0,11.812146591324197,0.04527439024390244,-16.05874345072215,0.21966145382403474,3.0,false
5,4.0,7,6560,2.101357841990392,2.5127225693632833,7.347370200040807,-0.0,11.776630103300436,0.046646341463414634,-15.956204838984284,0.21336516026423258,3.0,false
